year,geo,structure_type,building_permits_sum,population,percentage_of_seniors,percentage_of_students,GDP_millions
2011,Alberta,Multiple dwelling building total,26963,15125386.00,10.70,24.90,289920.60
2011,British Columbia,Multiple dwelling building total,34761,17988323.00,15.30,21.50,202033.20
2011,Manitoba,Multiple dwelling building total,5235,4928388.00,14.40,22.90,52461.70
2011,New Brunswick,Multiple dwelling building total,3269,3021248.00,13.90,26.00,28908.50
2011,Newfoundland and Labrador,Multiple dwelling building total,2442,2098906.00,16.20,21.00,31614.00
2011,Nova Scotia,Multiple dwelling building total,5393,3777808.00,5.60,29.30,34263.00
2011,Ontario,Multiple dwelling building total,73772,53000204.00,3.20,41.30,616138.50
2011,Prince Edward Island,Multiple dwelling building total,990,575019.00,15.90,22.90,4941.80
2011,Quebec,Multiple dwelling building total,73618,31987204.00,15.70,21.60,321047.40
2011,Saskatchewan,Multiple dwelling building total,5977,4258712.00,14.40,25.70,71287.50
2012,Alberta,Multiple dwelling building total,33239,15493623.00,11.00,24.60,29977.10
2012,British Columbia,Multiple dwelling building total,38843,18153901.00,15.80,21.20,5090.70
2012,Manitoba,Multiple dwelling building total,6800,4993394.00,14.90,22.60,34477.90
2012,New Brunswick,Multiple dwelling building total,3833,3026285.00,14.20,25.90,29117.40
2012,Newfoundland and Labrador,Multiple dwelling building total,2426,2106686.00,16.90,20.80,328855.50
2012,Nova Scotia,Multiple dwelling building total,5398,3779085.00,5.80,29.00,55676.30
2012,Ontario,Multiple dwelling building total,84547,53573998.00,3.40,40.80,302132.00
2012,Prince Edward Island,Multiple dwelling building total,1046,580209.00,16.60,22.50,206590.60
2012,Quebec,Multiple dwelling building total,70499,32292728.00,16.20,21.30,2457.60
2012,Saskatchewan,Multiple dwelling building total,8426,4337629.00,14.50,25.60,4249.90
2013,Alberta,Multiple dwelling building total,43041,15956059.00,11.20,24.40,32403.80
2013,British Columbia,Multiple dwelling building total,42170,18315636.00,16.40,20.90,5257.00
2013,Manitoba,Multiple dwelling building total,7574,5054388.00,15.30,22.30,35123.60
2013,New Brunswick,Multiple dwelling building total,3188,3022449.00,14.50,25.70,29166.00
2013,Newfoundland and Labrador,Multiple dwelling building total,2236,2113614.00,17.60,20.50,338213.80
2013,Nova Scotia,Multiple dwelling building total,4201,3773266.00,6.20,28.60,57869.00
2013,Ontario,Multiple dwelling building total,91383,54131765.00,3.50,40.40,331477.20
2013,Prince Edward Island,Multiple dwelling building total,500,581505.00,17.30,22.30,214088.80
2013,Quebec,Multiple dwelling building total,59733,32572972.00,16.60,21.10,2556.20
2013,Saskatchewan,Multiple dwelling building total,9512,4414926.00,14.50,25.40,4353.10
2014,Alberta,Multiple dwelling building total,46444,16414014.00,11.40,24.20,32136.70
2014,British Columbia,Multiple dwelling building total,42063,18510595.00,16.90,20.70,5332.00
2014,Manitoba,Multiple dwelling building total,8291,5118069.00,15.70,22.10,36258.30
2014,New Brunswick,Multiple dwelling building total,2752,3017719.00,14.70,25.50,29650.00
2014,Newfoundland and Labrador,Multiple dwelling building total,1948,2109387.00,18.30,20.20,348098.50
2014,Nova Scotia,Multiple dwelling building total,4498,3771853.00,6.50,28.10,59499.70
2014,Ontario,Multiple dwelling building total,85846,54664502.00,3.60,40.00,365191.10
2014,Prince Edward Island,Multiple dwelling building total,548,584078.00,17.90,22.10,225863.30
2014,Quebec,Multiple dwelling building total,60816,32820596.00,17.10,20.90,2650.30
2014,Saskatchewan,Multiple dwelling building total,8715,4490682.00,14.60,25.30,4656.50
2015,Alberta,Multiple dwelling building total,51286,8335453.00,11.70,24.10,28924.40
2015,British Columbia,Multiple dwelling building total,57762,9326164.00,17.40,20.50,5551.80
2015,Manitoba,Multiple dwelling building total,6257,2581943.00,16.10,21.90,37028.10
2015,New Brunswick,Multiple dwelling building total,1428,1507579.00,14.90,25.40,30602.60
2015,Newfoundland and Labrador,Multiple dwelling building total,994,1052085.00,19.00,20.10,357758.80
2015,Nova Scotia,Multiple dwelling building total,5395,1886501.00,6.80,27.80,60958.60
2015,Ontario,Multiple dwelling building total,88258,27483617.00,3.70,39.70,311906.00
2015,Prince Edward Island,Multiple dwelling building total,522,292748.00,18.50,21.90,231725.30
2015,Quebec,Multiple dwelling building total,56783,16485380.00,17.60,20.80,2541.70
2015,Saskatchewan,Multiple dwelling building total,6519,2267042.00,14.70,25.30,4597.50
2016,Alberta,Multiple dwelling building total,34860,4067175.00,12.00,24.10,29005.20
2016,British Columbia,Multiple dwelling building total,55230,4648055.00,17.90,20.30,5803.40
2016,Manitoba,Multiple dwelling building total,6099,1278365.00,16.50,21.70,37795.50
2016,New Brunswick,Multiple dwelling building total,2059,747101.00,15.10,25.20,31222.10
2016,Newfoundland and Labrador,Multiple dwelling building total,1404,519716.00,19.50,20.00,368634.60
2016,Northwest Territories,Multiple dwelling building total,234,41786.00,19.10,19.40,733760.70
2016,Nova Scotia,Multiple dwelling building total,4716,923598.00,7.20,27.30,62289.70
2016,Nunavut,Multiple dwelling building total,86,35944.00,19.30,19.50,71463.80
2016,Ontario,Multiple dwelling building total,96579,13448494.00,3.90,39.40,292561.70
2016,Prince Edward Island,Multiple dwelling building total,536,142907.00,18.80,21.80,243317.10
2016,Quebec,Multiple dwelling building total,66231,8164361.00,18.10,20.60,2691.40
2016,Saskatchewan,Multiple dwelling building total,4494,1098352.00,14.80,25.30,4303.70
2016,Yukon,Multiple dwelling building total,400,35874.00,11.70,22.20,2536.30
2017,Alberta,Multiple dwelling building total,29551,4286134.00,12.40,24.20,329900.00
2017,British Columbia,Multiple dwelling building total,69781,4817160.00,18.30,20.10,239900.00
2017,Manitoba,Multiple dwelling building total,8637,1338109.00,16.90,21.60,61900.00
2017,New Brunswick,Multiple dwelling building total,2360,759655.00,15.20,25.20,30200.00
2017,Newfoundland and Labrador,Multiple dwelling building total,1296,528817.00,20.10,19.90,31400.00
2017,Nova Scotia,Multiple dwelling building total,5394,953869.00,7.30,27.10,36100.00
2017,Ontario,Multiple dwelling building total,97539,14193384.00,4.00,38.90,713300.00
2017,Prince Edward Island,Multiple dwelling building total,750,152021.00,19.00,21.70,5600.00
2017,Quebec,Multiple dwelling building total,78053,8394034.00,18.50,20.60,357300.00
2017,Saskatchewan,Multiple dwelling building total,6179,1163925.00,15.00,25.30,80800.00
2018,Alberta,Agriculture,22,4317453.00,12.70,15.61,336300.00
2018,Alberta,Apartment,5426,4317453.00,12.70,15.61,336300.00
2018,Alberta,Apartment condominium,577,4317453.00,12.70,15.61,336300.00
2018,Alberta,Apartment total,6003,4317453.00,12.70,15.61,336300.00
2018,Alberta,"Churches, religion",18,4317453.00,12.70,15.61,336300.00
2018,Alberta,"Clinic - health unit, out-patient clinic, first aid station",18,4317453.00,12.70,15.61,336300.00
2018,Alberta,Communication building,2,4317453.00,12.70,15.61,336300.00
2018,Alberta,"Convention center, exhibition building",1,4317453.00,12.70,15.61,336300.00
2018,Alberta,Double total,2950,4317453.00,12.70,15.61,336300.00
2018,Alberta,"Elementary school, kindergarten",20,4317453.00,12.70,15.61,336300.00
2018,Alberta,"Factories, plants",74,4317453.00,12.70,15.61,336300.00
2018,Alberta,Government buildings,16,4317453.00,12.70,15.61,336300.00
2018,Alberta,"Government legislative and administration building other than office building - city hall, court of justice, embassy, parliament and senate building",6,4317453.00,12.70,15.61,336300.00
2018,Alberta,"Hospital general - military, specialized",23,4317453.00,12.70,15.61,336300.00
2018,Alberta,"Hotel, hotel and motel, motor hotel",18,4317453.00,12.70,15.61,336300.00
2018,Alberta,"Hotels, restaurants",134,4317453.00,12.70,15.61,336300.00
2018,Alberta,"Indoor recreational building - sports complex, tennis court and squash, community center, arena, curling club, swimming pool",47,4317453.00,12.70,15.61,336300.00
2018,Alberta,Laboratories,8,4317453.00,12.70,15.61,336300.00
2018,Alberta,"Library, museum, art gallery, aquarium, botanical garden, archive building, scientific center",7,4317453.00,12.70,15.61,336300.00
2018,Alberta,Maintenance building,32,4317453.00,12.70,15.61,336300.00
2018,Alberta,Major multiple dwelling projects,11448,4317453.00,12.70,15.61,336300.00
2018,Alberta,"Medical, hospital",41,4317453.00,12.70,15.61,336300.00
2018,Alberta,Mining and agriculture,23,4317453.00,12.70,15.61,336300.00
2018,Alberta,Mining building,1,4317453.00,12.70,15.61,336300.00
2018,Alberta,Minor multiple dwelling projects,960,4317453.00,12.70,15.61,336300.00
2018,Alberta,"Motel, cabin for tourism",1,4317453.00,12.70,15.61,336300.00
2018,Alberta,"Motor vehicle show room (new and used) - car dealership, used car, motorcycle and tractor sale",15,4317453.00,12.70,15.61,336300.00
2018,Alberta,Multiple dwelling building total,21301,4317453.00,12.70,15.61,336300.00
2018,Alberta,"Office building - consultant's office, doctor's office, insurance company, bank, taxi stand, office with cafeteria, office with smoke shop",290,4317453.00,12.70,15.61,336300.00
2018,Alberta,Office buildings,299,4317453.00,12.70,15.61,336300.00
2018,Alberta,"Office complex, office and store, office and apartment",9,4317453.00,12.70,15.61,336300.00
2018,Alberta,"Other accommodation - student's residence, boarding house, religious residence, hostel, dormitory",25,4317453.00,12.70,15.61,336300.00
2018,Alberta,"Other government building - police station, prison, fire station, military building",10,4317453.00,12.70,15.61,336300.00
2018,Alberta,"Outdoor recreational building - country club, golf club campground facilities, outdoor skating rink, outdoor swimming pool",18,4317453.00,12.70,15.61,336300.00
2018,Alberta,"Plant for manufacturing, processing and assembling goods",42,4317453.00,12.70,15.61,336300.00
2018,Alberta,"Post-secondary institution - technical institute, trade school",13,4317453.00,12.70,15.61,336300.00
2018,Alberta,Recreation,71,4317453.00,12.70,15.61,336300.00
2018,Alberta,"Restaurant, bar, tavern, night club, diner, donut shop",89,4317453.00,12.70,15.61,336300.00
2018,Alberta,Retail and wholesale outlets,171,4317453.00,12.70,15.61,336300.00
2018,Alberta,"Retail complex - plaza, mall, shopping center, store and office building",63,4317453.00,12.70,15.61,336300.00
2018,Alberta,Row condominium,376,4317453.00,12.70,15.61,336300.00
2018,Alberta,"Schools, education",86,4317453.00,12.70,15.61,336300.00
2018,Alberta,"Secondary school, high school, junior high school",31,4317453.00,12.70,15.61,336300.00
2018,Alberta,Service stations,45,4317453.00,12.70,15.61,336300.00
2018,Alberta,"Special building use - funeral director, crematorium, mausoleum",4,4317453.00,12.70,15.61,336300.00
2018,Alberta,"Theatre and performing art center - movie theatre, concert hall, opera house, cultural center",6,4317453.00,12.70,15.61,336300.00
2018,Alberta,Total demolitions,766,4317453.00,12.70,15.61,336300.00
2018,Alberta,Total major institutional and governmental projects,191,4317453.00,12.70,15.61,336300.00
2018,Alberta,Total major non-residential projects,1308,4317453.00,12.70,15.61,336300.00
2018,Alberta,Total major permits residential and non-residential,26860,4317453.00,12.70,15.61,336300.00
2018,Alberta,Total major residential project,25552,4317453.00,12.70,15.61,336300.00
2018,Alberta,Total minor commercial projects,2282,4317453.00,12.70,15.61,336300.00
2018,Alberta,Total minor industrial projects,679,4317453.00,12.70,15.61,336300.00
2018,Alberta,Total minor institutional and governmental projects,315,4317453.00,12.70,15.61,336300.00
2018,Alberta,Total minor non-residential projects,3276,4317453.00,12.70,15.61,336300.00
2018,Alberta,Total minor residential and non-residential,14206,4317453.00,12.70,15.61,336300.00
2018,Alberta,Total minor residential project,10930,4317453.00,12.70,15.61,336300.00
2018,Alberta,Trade and services,253,4317453.00,12.70,15.61,336300.00
2018,Alberta,Transportation terminal,10,4317453.00,12.70,15.61,336300.00
2018,Alberta,"Transportation, utilities",78,4317453.00,12.70,15.61,336300.00
2018,Alberta,University,15,4317453.00,12.70,15.61,336300.00
2018,Alberta,Utility building,66,4317453.00,12.70,15.61,336300.00
2018,Alberta,Warehouses,132,4317453.00,12.70,15.61,336300.00
2018,Alberta,"Welfare, home",30,4317453.00,12.70,15.61,336300.00
2018,British Columbia,Agriculture,74,5039661.00,17.86,11.14,246300.00
2018,British Columbia,Apartment,11886,5039661.00,17.86,11.14,246300.00
2018,British Columbia,Apartment condominium,6872,5039661.00,17.86,11.14,246300.00
2018,British Columbia,Apartment total,18758,5039661.00,17.86,11.14,246300.00
2018,British Columbia,"Churches, religion",13,5039661.00,17.86,11.14,246300.00
2018,British Columbia,"Clinic - health unit, out-patient clinic, first aid station",5,5039661.00,17.86,11.14,246300.00
2018,British Columbia,Communication building,3,5039661.00,17.86,11.14,246300.00
2018,British Columbia,"Convention center, exhibition building",3,5039661.00,17.86,11.14,246300.00
2018,British Columbia,Double total,409,5039661.00,17.86,11.14,246300.00
2018,British Columbia,"Elementary school, kindergarten",21,5039661.00,17.86,11.14,246300.00
2018,British Columbia,"Factories, plants",71,5039661.00,17.86,11.14,246300.00
2018,British Columbia,Government buildings,23,5039661.00,17.86,11.14,246300.00
2018,British Columbia,"Government legislative and administration building other than office building - city hall, court of justice, embassy, parliament and senate building",12,5039661.00,17.86,11.14,246300.00
2018,British Columbia,"Hospital general - military, specialized",13,5039661.00,17.86,11.14,246300.00
2018,British Columbia,"Hotel, hotel and motel, motor hotel",25,5039661.00,17.86,11.14,246300.00
2018,British Columbia,"Hotels, restaurants",156,5039661.00,17.86,11.14,246300.00
2018,British Columbia,"Indoor recreational building - sports complex, tennis court and squash, community center, arena, curling club, swimming pool",25,5039661.00,17.86,11.14,246300.00
2018,British Columbia,Laboratories,2,5039661.00,17.86,11.14,246300.00
2018,British Columbia,"Library, museum, art gallery, aquarium, botanical garden, archive building, scientific center",3,5039661.00,17.86,11.14,246300.00
2018,British Columbia,Maintenance building,14,5039661.00,17.86,11.14,246300.00
2018,British Columbia,Major multiple dwelling projects,22682,5039661.00,17.86,11.14,246300.00
2018,British Columbia,"Medical, hospital",18,5039661.00,17.86,11.14,246300.00
2018,British Columbia,Mining and agriculture,76,5039661.00,17.86,11.14,246300.00
2018,British Columbia,Mining building,2,5039661.00,17.86,11.14,246300.00
2018,British Columbia,Minor multiple dwelling projects,734,5039661.00,17.86,11.14,246300.00
2018,British Columbia,"Motel, cabin for tourism",10,5039661.00,17.86,11.14,246300.00
2018,British Columbia,"Motor vehicle show room (new and used) - car dealership, used car, motorcycle and tractor sale",8,5039661.00,17.86,11.14,246300.00
2018,British Columbia,Multiple dwelling building total,43065,5039661.00,17.86,11.14,246300.00
2018,British Columbia,"Office building - consultant's office, doctor's office, insurance company, bank, taxi stand, office with cafeteria, office with smoke shop",245,5039661.00,17.86,11.14,246300.00
2018,British Columbia,Office buildings,247,5039661.00,17.86,11.14,246300.00
2018,British Columbia,"Office complex, office and store, office and apartment",2,5039661.00,17.86,11.14,246300.00
2018,British Columbia,"Other accommodation - student's residence, boarding house, religious residence, hostel, dormitory",25,5039661.00,17.86,11.14,246300.00
2018,British Columbia,"Other government building - police station, prison, fire station, military building",10,5039661.00,17.86,11.14,246300.00
2018,British Columbia,"Outdoor recreational building - country club, golf club campground facilities, outdoor skating rink, outdoor swimming pool",26,5039661.00,17.86,11.14,246300.00
2018,British Columbia,"Plant for manufacturing, processing and assembling goods",57,5039661.00,17.86,11.14,246300.00
2018,British Columbia,"Post-secondary institution - technical institute, trade school",16,5039661.00,17.86,11.14,246300.00
2018,British Columbia,Recreation,55,5039661.00,17.86,11.14,246300.00
2018,British Columbia,"Restaurant, bar, tavern, night club, diner, donut shop",93,5039661.00,17.86,11.14,246300.00
2018,British Columbia,Retail and wholesale outlets,106,5039661.00,17.86,11.14,246300.00
2018,British Columbia,"Retail complex - plaza, mall, shopping center, store and office building",56,5039661.00,17.86,11.14,246300.00
2018,British Columbia,Row condominium,1496,5039661.00,17.86,11.14,246300.00
2018,British Columbia,"Schools, education",67,5039661.00,17.86,11.14,246300.00
2018,British Columbia,"Secondary school, high school, junior high school",10,5039661.00,17.86,11.14,246300.00
2018,British Columbia,Service stations,20,5039661.00,17.86,11.14,246300.00
2018,British Columbia,"Special building use - funeral director, crematorium, mausoleum",1,5039661.00,17.86,11.14,246300.00
