year,geo,structure_type,building_permits_sum,population,percentage_of_seniors,percentage_of_students,GDP_millions
2011,Alberta,Multiple dwelling building total,26963,15125386,10.7,24.9,289920.6
2011,British Columbia,Multiple dwelling building total,34761,17988323,15.3,21.5,202033.2
2011,Manitoba,Multiple dwelling building total,5235,4928388,14.4,22.9,52461.7
2011,New Brunswick,Multiple dwelling building total,3269,3021248,13.9,26,28908.5
2011,Newfoundland and Labrador,Multiple dwelling building total,2442,2098906,16.2,21,31614
2011,Nova Scotia,Multiple dwelling building total,5393,3777808,5.6,29.3,34263
2011,Ontario,Multiple dwelling building total,73772,53000204,3.2,41.3,616138.5
2011,Prince Edward Island,Multiple dwelling building total,990,575019,15.9,22.9,4941.8
2011,Quebec,Multiple dwelling building total,73618,31987204,15.7,21.6,321047.4
2011,Saskatchewan,Multiple dwelling building total,5977,4258712,14.4,25.7,71287.5
2012,Alberta,Multiple dwelling building total,33239,15493623,11,24.6,29977.1
2012,British Columbia,Multiple dwelling building total,38843,18153901,15.8,21.2,5090.7
2012,Manitoba,Multiple dwelling building total,6800,4993394,14.9,22.6,34477.9
2012,New Brunswick,Multiple dwelling building total,3833,3026285,14.2,25.9,29117.4
2012,Newfoundland and Labrador,Multiple dwelling building total,2426,2106686,16.9,20.8,328855.5
2012,Nova Scotia,Multiple dwelling building total,5398,3779085,5.8,29,55676.3
2012,Ontario,Multiple dwelling building total,84547,53573998,3.4,40.8,302132
2012,Prince Edward Island,Multiple dwelling building total,1046,580209,16.6,22.5,206590.6
2012,Quebec,Multiple dwelling building total,70499,32292728,16.2,21.3,2457.6
2012,Saskatchewan,Multiple dwelling building total,8426,4337629,14.5,25.6,4249.9
2013,Alberta,Multiple dwelling building total,43041,15956059,11.2,24.4,32403.8
2013,British Columbia,Multiple dwelling building total,42170,18315636,16.4,20.9,5257
2013,Manitoba,Multiple dwelling building total,7574,5054388,15.3,22.3,35123.6
2013,New Brunswick,Multiple dwelling building total,3188,3022449,14.5,25.7,29166
2013,Newfoundland and Labrador,Multiple dwelling building total,2236,2113614,17.6,20.5,338213.8
2013,Nova Scotia,Multiple dwelling building total,4201,3773266,6.2,28.6,57869
2013,Ontario,Multiple dwelling building total,91383,54131765,3.5,40.4,331477.2
2013,Prince Edward Island,Multiple dwelling building total,500,581505,17.3,22.3,214088.8
2013,Quebec,Multiple dwelling building total,59733,32572972,16.6,21.1,2556.2
2013,Saskatchewan,Multiple dwelling building total,9512,4414926,14.5,25.4,4353.1
2014,Alberta,Multiple dwelling building total,46444,16414014,11.4,24.2,32136.7
2014,British Columbia,Multiple dwelling building total,42063,18510595,16.9,20.7,5332
2014,Manitoba,Multiple dwelling building total,8291,5118069,15.7,22.1,36258.3
2014,New Brunswick,Multiple dwelling building total,2752,3017719,14.7,25.5,29650
2014,Newfoundland and Labrador,Multiple dwelling building total,1948,2109387,18.3,20.2,348098.5
2014,Nova Scotia,Multiple dwelling building total,4498,3771853,6.5,28.1,59499.7
2014,Ontario,Multiple dwelling building total,85846,54664502,3.6,40,365191.1
2014,Prince Edward Island,Multiple dwelling building total,548,584078,17.9,22.1,225863.3
2014,Quebec,Multiple dwelling building total,60816,32820596,17.1,20.9,2650.3
2014,Saskatchewan,Multiple dwelling building total,8715,4490682,14.6,25.3,4656.5
2015,Alberta,Multiple dwelling building total,51286,8335453,11.7,24.1,28924.4
2015,British Columbia,Multiple dwelling building total,57762,9326164,17.4,20.5,5551.8
2015,Manitoba,Multiple dwelling building total,6257,2581943,16.1,21.9,37028.1
2015,New Brunswick,Multiple dwelling building total,1428,1507579,14.9,25.4,30602.6
2015,Newfoundland and Labrador,Multiple dwelling building total,994,1052085,19,20.1,357758.8
2015,Nova Scotia,Multiple dwelling building total,5395,1886501,6.8,27.8,60958.6
2015,Ontario,Multiple dwelling building total,88258,27483617,3.7,39.7,311906
2015,Prince Edward Island,Multiple dwelling building total,522,292748,18.5,21.9,231725.3
2015,Quebec,Multiple dwelling building total,56783,16485380,17.6,20.8,2541.7
2015,Saskatchewan,Multiple dwelling building total,6519,2267042,14.7,25.3,4597.5
2016,Alberta,Multiple dwelling building total,34860,4067175,12,24.1,29005.2
2016,British Columbia,Multiple dwelling building total,55230,4648055,17.9,20.3,5803.4
2016,Manitoba,Multiple dwelling building total,6099,1278365,16.5,21.7,37795.5
2016,New Brunswick,Multiple dwelling building total,2059,747101,15.1,25.2,31222.1
2016,Newfoundland and Labrador,Multiple dwelling building total,1404,519716,19.5,20,368634.6
2016,Northwest Territories,Multiple dwelling building total,234,41786,19.1,19.4,733760.7
2016,Nova Scotia,Multiple dwelling building total,4716,923598,7.2,27.3,62289.7
2016,Nunavut,Multiple dwelling building total,86,35944,19.3,19.5,71463.8
2016,Ontario,Multiple dwelling building total,96579,13448494,3.9,39.4,292561.7
2016,Prince Edward Island,Multiple dwelling building total,536,142907,18.8,21.8,243317.1
2016,Quebec,Multiple dwelling building total,66231,8164361,18.1,20.6,2691.4
2016,Saskatchewan,Multiple dwelling building total,4494,1098352,14.8,25.3,4303.7
2016,Yukon,Multiple dwelling building total,400,35874,11.7,22.2,2536.3
2017,Alberta,Multiple dwelling building total,29551,4286134,12.4,24.2,329900
2017,British Columbia,Multiple dwelling building total,69781,4817160,18.3,20.1,239900
2017,Manitoba,Multiple dwelling building total,8637,1338109,16.9,21.6,61900
2017,New Brunswick,Multiple dwelling building total,2360,759655,15.2,25.2,30200
2017,Newfoundland and Labrador,Multiple dwelling building total,1296,528817,20.1,19.9,31400
2017,Nova Scotia,Multiple dwelling building total,5394,953869,7.3,27.1,36100
2017,Ontario,Multiple dwelling building total,97539,14193384,4,38.9,713300
2017,Prince Edward Island,Multiple dwelling building total,750,152021,19,21.7,5600
2017,Quebec,Multiple dwelling building total,78053,8394034,18.5,20.6,357300
2017,Saskatchewan,Multiple dwelling building total,6179,1163925,15,25.3,80800
2018,Alberta,Agriculture,22,4317453,12.7,15.61,336300
2018,Alberta,Apartment,5426,4317453,12.7,15.61,336300
2018,Alberta,Apartment condominium,577,4317453,12.7,15.61,336300
2018,Alberta,Apartment total,6003,4317453,12.7,15.61,336300
2018,Alberta,"Churches, religion",18,4317453,12.7,15.61,336300
2018,Alberta,"Clinic - health unit, out-patient clinic, first aid station",18,4317453,12.7,15.61,336300
2018,Alberta,Communication building,2,4317453,12.7,15.61,336300
2018,Alberta,"Convention center, exhibition building",1,4317453,12.7,15.61,336300
2018,Alberta,Double total,2950,4317453,12.7,15.61,336300
2018,Alberta,"Elementary school, kindergarten",20,4317453,12.7,15.61,336300
2018,Alberta,"Factories, plants",74,4317453,12.7,15.61,336300
2018,Alberta,Government buildings,16,4317453,12.7,15.61,336300
2018,Alberta,"Government legislative and administration building other than office building - city hall, court of justice, embassy, parliament and senate building",6,4317453,12.7,15.61,336300
2018,Alberta,"Hospital general - military, specialized",23,4317453,12.7,15.61,336300
2018,Alberta,"Hotel, hotel and motel, motor hotel",18,4317453,12.7,15.61,336300
2018,Alberta,"Hotels, restaurants",134,4317453,12.7,15.61,336300
2018,Alberta,"Indoor recreational building - sports complex, tennis court and squash, community center, arena, curling club, swimming pool",47,4317453,12.7,15.61,336300
2018,Alberta,Laboratories,8,4317453,12.7,15.61,336300
2018,Alberta,"Library, museum, art gallery, aquarium, botanical garden, archive building, scientific center",7,4317453,12.7,15.61,336300
2018,Alberta,Maintenance building,32,4317453,12.7,15.61,336300
2018,Alberta,Major multiple dwelling projects,11448,4317453,12.7,15.61,336300
2018,Alberta,"Medical, hospital",41,4317453,12.7,15.61,336300
2018,Alberta,Mining and agriculture,23,4317453,12.7,15.61,336300
2018,Alberta,Mining building,1,4317453,12.7,15.61,336300
2018,Alberta,Minor multiple dwelling projects,960,4317453,12.7,15.61,336300
2018,Alberta,"Motel, cabin for tourism",1,4317453,12.7,15.61,336300
2018,Alberta,"Motor vehicle show room (new and used) - car dealership, used car, motorcycle and tractor sale",15,4317453,12.7,15.61,336300
2018,Alberta,Multiple dwelling building total,21301,4317453,12.7,15.61,336300
2018,Alberta,"Office building - consultant's office, doctor's office, insurance company, bank, taxi stand, office with cafeteria, office with smoke shop",290,4317453,12.7,15.61,336300
2018,Alberta,Office buildings,299,4317453,12.7,15.61,336300
2018,Alberta,"Office complex, office and store, office and apartment",9,4317453,12.7,15.61,336300
2018,Alberta,"Other accommodation - student's residence, boarding house, religious residence, hostel, dormitory",25,4317453,12.7,15.61,336300
2018,Alberta,"Other government building - police station, prison, fire station, military building",10,4317453,12.7,15.61,336300
2018,Alberta,"Outdoor recreational building - country club, golf club campground facilities, outdoor skating rink, outdoor swimming pool",18,4317453,12.7,15.61,336300
2018,Alberta,"Plant for manufacturing, processing and assembling goods",42,4317453,12.7,15.61,336300
2018,Alberta,"Post-secondary institution - technical institute, trade school",13,4317453,12.7,15.61,336300
2018,Alberta,Recreation,71,4317453,12.7,15.61,336300
2018,Alberta,"Restaurant, bar, tavern, night club, diner, donut shop",89,4317453,12.7,15.61,336300
2018,Alberta,Retail and wholesale outlets,171,4317453,12.7,15.61,336300
2018,Alberta,"Retail complex - plaza, mall, shopping center, store and office building",63,4317453,12.7,15.61,336300
2018,Alberta,Row condominium,376,4317453,12.7,15.61,336300
2018,Alberta,"Schools, education",86,4317453,12.7,15.61,336300
2018,Alberta,"Secondary school, high school, junior high school",31,4317453,12.7,15.61,336300
2018,Alberta,Service stations,45,4317453,12.7,15.61,336300
2018,Alberta,"Special building use - funeral director, crematorium, mausoleum",4,4317453,12.7,15.61,336300
2018,Alberta,"Theatre and performing art center - movie theatre, concert hall, opera house, cultural center",6,4317453,12.7,15.61,336300
2018,Alberta,Total demolitions,766,4317453,12.7,15.61,336300
2018,Alberta,Total major institutional and governmental projects,191,4317453,12.7,15.61,336300
2018,Alberta,Total major non-residential projects,1308,4317453,12.7,15.61,336300
2018,Alberta,Total major permits residential and non-residential,26860,4317453,12.7,15.61,336300
2018,Alberta,Total major residential project,25552,4317453,12.7,15.61,336300
2018,Alberta,Total minor commercial projects,2282,4317453,12.7,15.61,336300
2018,Alberta,Total minor industrial projects,679,4317453,12.7,15.61,336300
2018,Alberta,Total minor institutional and governmental projects,315,4317453,12.7,15.61,336300
2018,Alberta,Total minor non-residential projects,3276,4317453,12.7,15.61,336300
2018,Alberta,Total minor residential and non-residential,14206,4317453,12.7,15.61,336300
2018,Alberta,Total minor residential project,10930,4317453,12.7,15.61,336300
2018,Alberta,Trade and services,253,4317453,12.7,15.61,336300
2018,Alberta,Transportation terminal,10,4317453,12.7,15.61,336300
2018,Alberta,"Transportation, utilities",78,4317453,12.7,15.61,336300
2018,Alberta,University,15,4317453,12.7,15.61,336300
2018,Alberta,Utility building,66,4317453,12.7,15.61,336300
2018,Alberta,Warehouses,132,4317453,12.7,15.61,336300
2018,Alberta,"Welfare, home",30,4317453,12.7,15.61,336300
2018,British Columbia,Agriculture,74,5039661,17.86,11.14,246300
2018,British Columbia,Apartment,11886,5039661,17.86,11.14,246300
2018,British Columbia,Apartment condominium,6872,5039661,17.86,11.14,246300
2018,British Columbia,Apartment total,18758,5039661,17.86,11.14,246300
2018,British Columbia,"Churches, religion",13,5039661,17.86,11.14,246300
2018,British Columbia,"Clinic - health unit, out-patient clinic, first aid station",5,5039661,17.86,11.14,246300
2018,British Columbia,Communication building,3,5039661,17.86,11.14,246300
2018,British Columbia,"Convention center, exhibition building",3,5039661,17.86,11.14,246300
2018,British Columbia,Double total,409,5039661,17.86,11.14,246300
2018,British Columbia,"Elementary school, kindergarten",21,5039661,17.86,11.14,246300
2018,British Columbia,"Factories, plants",71,5039661,17.86,11.14,246300
